Temp,Humidity,Pressure,Rain
60,75,29.68,1
48,68,30.13,0
45,52,30.49,0
46,56,30.45,0
48,63,30.4,0
50,76,30.1,0
40,60,30.33,0
46,54,30.39,0
54,68,30.11,0
44,55,30.37,0
43,49,30.35,0
57,68,29.95,0
47,59,30.08,0
29,38,30.68,0
35,43,30.52,0
47,75,30.2,1
62,80,30.11,0
65,81,29.87,1
62,53,30.06,0
57,68,30.01,1
57,51,30.01,0
57,41,30.13,0
52,35,30.33,0
56,38,30.13,0
54,31,30.29,0
54,45,30.19,0
59,39,30.22,0
64,44,30,0
51,39,30.31,0
54,45,30.11,0
42,64,30.47,1
33,60,30.63,1
48,53,30.19,0
60,52,29.84,0
47,44,30.09,1
33,48,30.4,1
38,42,30.41,0
48,64,30.06,0
68,64,29.87,0
45,69,30.09,1
40,74,30.17,0
53,68,29.95,1
40,60,30.37,0
29,54,30.48,0
34,68,30.32,0
51,63,30.17,0
59,70,30.05,0
35,80,30.24,1
45,57,30.18,0
51,58,30.02,0
67,51,29.93,0
59,43,30.09,0
68,74,30.01,0
70,52,30.03,0
69,55,30,0
73,70,29.85,0
70,48,29.85,0
57,43,30.11,0
63,53,29.96,0
74,57,29.95,0
66,65,30.04,0
44,63,30.18,1
45,56,30.1,0
62,60,29.85,0
68,74,29.95,0
51,79,30.05,1
36,56,30.33,1
40,72,30.18,1
46,76,30.06,0
54,62,30.18,0
53,65,29.99,0
52,88,30.09,1
49,71,30.29,1
61,69,30.08,1
70,66,29.77,0
60,36,30.13,0
52,35,30.26,0
62,68,30.04,0
68,81,29.86,1
56,66,29.9,0
55,36,29.94,0
65,49,29.74,0
62,52,30.07,0
59,52,30.15,0
67,69,29.95,0
69,80,29.95,0
54,62,30.19,0
58,58,30.14,0
57,61,30.24,0
72,78,29.83,1
76,64,29.79,0
64,43,30.18,0
62,56,30.13,0
73,65,29.93,0
76,71,29.92,0
57,76,29.81,1
62,69,29.92,1
64,57,30.14,0
65,51,30.17,0
72,59,30.01,0
73,65,29.98,0
75,66,29.91,0
58,65,29.96,1
52,39,30.27,0
57,56,30.06,0
62,85,30.09,1
69,68,30.17,1
66,68,30.12,0
68,77,30.1,0
74,72,30.01,1
75,61,29.96,0
73,68,29.85,0
78,63,29.82,0
76,51,29.92,0
85,51,29.55,0
80,39,29.61,0
72,36,29.77,0
66,32,30.08,0
65,39,30.12,0
70,33,30.02,0
76,27,30,0
76,27,30.02,0
76,61,29.91,0
76,66,29.81,0
79,65,29.81,0
79,75,29.81,1
76,71,29.84,0
83,63,29.77,0
72,87,29.84,1
61,73,30.09,1
64,57,30.24,1
65,55,30.22,0
74,40,30.06,0
73,58,29.97,0
74,67,30.03,0
76,65,30,0
78,63,30.01,0
80,61,30.02,0
78,69,30.03,1
70,83,30,1
68,86,29.95,1
76,74,29.88,0
78,66,29.85,0
81,60,29.82,0
82,63,29.85,0
80,69,29.9,0
83,67,29.91,0
83,70,29.86,0
83,72,29.82,0
83,70,29.88,0
83,71,29.89,0
77,78,29.81,1
78,64,29.85,0
80,64,29.83,0
80,68,29.82,1
79,75,29.95,0
92,77,29.93,0
83,-0,29.9,0
84,69,29.99,0
85,68,29.96,1
84,68,30,1
83,69,30.04,0
78,75,29.93,1
84,72,30,1
80,77,30.01,1
80,76,29.95,1
86,69,29.97,0
87,64,29.94,0
86,64,29.92,0
85,64,30,0
84,62,30.08,1
82,67,30.15,0
82,70,30.12,0
84,72,30.03,0
85,61,29.97,0
86,63,29.99,0
85,59,30,0
84,64,30.01,0
83,60,30.09,0
85,59,30.1,0
87,63,30.03,0
88,55,29.96,0
83,71,29.96,1
84,68,29.95,1
82,77,29.86,1
75,87,29.93,1
78,76,29.99,0
84,73,29.96,0
87,70,29.97,0
86,68,30.01,0
86,66,30,0
84,70,29.99,1
86,63,29.96,0
87,66,29.95,0
87,64,30,0
87,62,30.05,0
87,63,30.03,0
86,60,29.97,0
87,64,29.94,0
82,59,29.98,0
79,70,30.02,0
83,62,30,0
83,66,29.98,0
85,61,29.99,0
88,64,29.96,0
90,59,29.9,0
89,60,29.89,0
89,60,29.94,0
89,58,29.96,0
89,62,30,1
87,62,29.99,0
83,45,30.01,0
84,50,29.97,0
88,58,29.95,0
91,57,29.88,0
90,56,29.92,0
90,59,29.9,0
87,55,29.87,0
90,57,29.92,0
92,55,29.98,0
91,55,29.99,0
88,62,29.94,0
89,59,29.9,0
89,59,29.9,0
87,58,29.96,0
88,61,29.89,0
87,64,29.87,1
85,69,29.91,0
87,68,29.93,0
90,62,29.9,0
88,66,29.91,1
88,61,29.95,0
86,65,30,1
87,63,30.02,1
86,67,30.01,1
82,78,30.04,1
84,70,29.97,0
86,63,29.9,0
88,63,29.83,0
89,60,29.89,0
81,67,30,1
63,92,30.19,1
71,87,30.16,0
79,76,30.09,0
84,70,30.01,1
83,75,29.93,1
81,78,29.88,1
80,85,29.89,1
82,78,29.94,1
81,71,30.01,0
81,69,30.07,0
76,57,30.09,0
72,64,30.1,0
76,71,30.06,0
77,72,29.98,0
78,68,29.92,0
78,70,29.83,0
84,68,29.79,0
84,72,29.82,1
75,44,30.06,0
70,51,30.12,0
75,69,29.9,0
81,73,29.86,0
83,67,29.92,0
82,70,29.98,0
84,66,29.89,0
69,85,30.04,1
69,86,29.88,1
69,63,29.8,1
66,49,30.09,0
72,46,30.06,0
72,50,29.94,0
74,69,29.9,0
76,67,30,0
74,74,30.06,0
73,73,30.02,0
71,61,30.03,0
73,64,30.12,0
75,62,30.11,0
74,62,29.98,0
74,67,29.89,0
75,74,29.99,0
73,68,30.1,0
66,60,30.22,1
58,54,30.34,0
62,61,30.26,0
67,87,30.09,1
57,97,30.16,1
59,75,30.28,1
60,53,30.19,0
62,67,30.1,0
61,59,30.07,0
63,70,29.83,0
54,67,30.03,0
44,50,30.34,0
36,43,30.52,0
38,44,30.4,0
44,72,30.14,1
42,91,30,1
42,52,30.4,0
43,51,30.48,0
51,64,30.27,0
57,85,30.08,1
68,90,30.05,1
63,97,29.86,1
67,62,29.64,0
53,47,30.06,0
53,53,30.26,0
60,40,30.22,0
53,52,30.45,0
57,62,30.24,0
65,75,30.02,0
72,71,30.03,0
54,69,30.31,0
45,63,30.33,0
54,88,30.18,0
62,94,30.11,1
69,82,30.08,1
62,72,30.32,0
54,83,30.33,0
58,69,30.32,0
56,70,30.31,0
57,75,30.2,1
62,85,30.18,1
65,79,30.15,0
68,82,29.94,1
63,58,29.99,0
55,47,30.28,0
51,75,30.14,1
53,89,30.12,1
52,82,30.21,0
53,83,30.02,0
67,63,29.7,0
46,62,30.11,0
49,61,30.05,0
64,83,29.93,1
54,79,30.09,1
40,71,30.25,1
49,68,30.14,0
43,87,30.36,0
37,82,30.25,1
41,95,30.08,1
51,74,29.99,1
43,69,30.48,0
41,54,30.6,0
54,50,30.38,0
41,54,30.58,0
36,62,30.48,1
34,76,30.42,1
42,90,30.21,1
43,88,30.28,0
39,83,30.43,0
39,86,30.33,0
49,68,30.33,0
51,64,30.29,0
